probe,log2FC,mean_OA,mean_Normal,p_value,t_statistic,adj_p_value,-log10p,gene_symbol
215553_x_at,-1.0056922650513302,212.37849999999997,426.4362222222223,1.481752585855713e-07,-8.775107564140304,0.0013178068621238917,6.82922430618654,215553_x_at
211454_x_at,-1.0207824240107923,429.0849,870.6214444444445,1.5368531206649686e-07,-8.646192387346558,0.0013178068621238917,6.813367636685559,FKSG49
214951_at,-1.1312475141266787,67.12697,147.04033333333334,2.128999461432099e-07,-8.326685971400762,0.0013178068621238917,6.6718244484241,SLC26A10
AFFX-r2-P1-cre-3_at,-1.1303102649484789,6686.549000000001,14637.244444444443,2.7714777790614785e-07,-8.179550375840657,0.0013178068621238917,6.557288599110008,AFFX-r2-P1-cre-3_at
AFFX-CreX-5_at,-1.404515924639437,2982.4200000000005,7895.328888888889,3.147834122359847e-07,-8.694633989187444,0.0013178068621238917,6.501988161205556,AFFX-CreX-5_at
212362_at,-1.370853431854468,52.37861,135.4634,3.5483737255950054e-07,-8.114152280921047,0.0013178068621238917,6.449970645205581,ATP2A2
207953_at,-2.207940439921262,47.09532,217.58755555555555,5.167145209514597e-07,-7.989223175188499,0.001644849952908768,6.2867493335376015,207953_at
221638_s_at,-2.0946946490942104,27.622725000000003,117.98653333333333,6.558270388243564e-07,-7.744260735622718,0.0017381822916337278,6.18321068194823,STX16
211040_x_at,-1.0961760134342595,360.8231,771.3938888888889,7.679250171774382e-07,-7.814029605259945,0.0017381822916337278,6.114681183895422,GTSE1
201891_s_at,-0.6931445544026562,10245.530000000002,16565.01111111111,7.800485983187757e-07,-7.595742940859021,0.0017381822916337278,6.107878339201582,B2M
208900_s_at,-1.9279415965136344,85.89867,326.8546666666667,9.845175022633421e-07,-8.313449258282477,0.0018796075345614543,6.006776558785563,TOP1
203974_at,0.7389468735135892,617.9768,370.27722222222224,1.0122196479261073e-06,7.620512100738819,0.0018796075345614543,5.994725236970846,PUDP
215084_s_at,0.6810057621749748,303.4661,189.281,1.191678642456028e-06,7.640489859239823,0.002013193391026172,5.923840844112827,LRRC42
208532_x_at,-1.1994911197338598,30.244960000000003,69.46016666666667,1.2648524648551097e-06,-7.309776520667809,0.002013193391026172,5.89796012858778,KRTAP5-8
212027_at,-1.5168818473670052,143.20659999999998,409.81699999999995,2.0738393109026966e-06,-7.534224110345063,0.003080757424322986,5.683224897460889,RBM25
AFFX-CreX-3_at,-1.187833597225569,5438.188999999999,12388.759999999998,3.3243068138816797e-06,-6.954669202517587,0.004347672180213187,5.478298900222881,AFFX-CreX-3_at
212073_at,-1.1488165535978534,198.98893,441.222,3.425976423693076e-06,-6.75827831864031,0.004347672180213187,5.465215630014767,CSNK2A1
AFFX-hum_alu_at,-0.7885844389758822,14838.070000000002,25630.966666666667,3.5559296837756847e-06,-6.910418311165674,0.004347672180213187,5.4490468355112,AFFX-hum_alu_at
201570_at,0.5893757605280373,941.2759999999998,625.6006666666667,3.846265929645235e-06,7.184419015608303,0.004347672180213187,5.41496069207235,SAMM50
208965_s_at,-1.7248285290243297,304.4112,1006.2033333333334,4.073325337918512e-06,-6.978213635606004,0.004347672180213187,5.3900509012766165,IFI16
212574_x_at,-1.8321165089837985,175.8698,626.2003333333334,4.097343974531119e-06,-6.7769461564985205,0.004347672180213187,5.387497575229169,TMEM259
213583_x_at,-0.5908900854782837,10669.819,16070.62222222222,4.3886965821995784e-06,-6.711487160041743,0.004445151179143327,5.357664443586893,EEF1A1
200773_x_at,-0.6880713727048267,5143.3099999999995,8286.532222222222,4.7947510786956716e-06,-6.595658660480925,0.004451726595273986,5.319233934469336,PTMA
AFFX-r2-P1-cre-5_at,-1.0760371799490969,6943.4839999999995,14638.511111111111,5.095144248578926e-06,-6.666635544586941,0.004541403971643368,5.292843516176681,AFFX-r2-P1-cre-5_at
201072_s_at,-1.1774318938039485,100.98664000000001,228.40533333333335,5.624316262892437e-06,-6.91049094247402,0.004820255357155083,5.249930266336877,SMARCC1
212284_x_at,-0.6189967864978703,16293.049999999997,25022.977777777778,6.223187499897958e-06,-6.457427143986151,0.0049544114969852105,5.205987113856552,LOC101928826
202579_x_at,0.5759868349873151,2508.2049999999995,1682.572222222222,6.843576800718597e-06,6.98876109474402,0.005221477314920627,5.164716854594895,HMGN4
211277_x_at,-2.2279390490373654,121.72421,570.2344444444445,7.029767959772868e-06,-7.135245072407748,0.005221477314920627,5.153059010037557,APP
