gene_symbol,meta_p_value,meta_log2FC,n_datasets,datasets,all_same_direction,n_up,n_down,meta_adj_p_value,-log10_meta_p
SLC38A7,9.916501366324937e-05,-0.7984306914352907,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0008969302181482986,4.00364152394497
FARS2,9.91654870062808e-05,0.3257637436551909,3,GSE55235;GSE12021;GSE55457,False,2,1,0.0008969302181482986,4.003639450937884
TNPO2,9.917425203309627e-05,-0.5496922122595832,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0008969302181482986,4.003601066267211
UBE3B,9.920716943367935e-05,-0.43694977121779893,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0008969302181482986,4.0034569414247
CHURC1-FNTB,9.922463897704681e-05,0.030610758587456228,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0008969302181482986,4.003380472572592
LOC101927705,9.948798905945466e-05,0.7501607433945647,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0008987397513256641,4.002229347395614
GPR4,0.00010007663242461717,-1.3892586278037538,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0009034837094780794,3.9996673170637647
MAFG,0.00010021759062373015,-0.4530749179648373,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0009041825487599445,3.9990560425374353
KIAA0754,0.00010028339692991217,-1.7534948492647076,3,GSE55235;GSE12021;GSE55457,True,0,3,0.000904202897033454,3.9987709634759883
SREK1,0.00010036169544591633,-0.5356732816003275,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0009043357839167179,3.9984320106038767
ZMYND8,0.00010044151237653676,-0.7240067200580619,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0009044821760084587,3.9980867566138394
EYA2,0.00010057691646037092,0.8416395130677946,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009050098938036097,3.997501683338017
COPS7A,0.00010062733005322677,0.31235901996240983,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009050098938036097,3.9972840503006655
PDZRN4,0.00010096742225829125,1.1923153721222486,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009074949361282173,3.9958187313236313
CD52,0.00010216602250678886,1.6393098355173612,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009176882375167878,3.9906935140965074
SENP3-EIF4A1,0.0001023229500217715,-0.644512262195188,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0009185179387443311,3.9900269474220122
C14orf132,0.00010252011722189369,0.7914087805216696,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009197075837535331,3.98919090591354
215986_at,0.0001027839862093316,-1.0293802243651835,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0009214937339548646,3.988074543343333
GUCA1A,0.0001030199764523454,1.6496163927323615,3,GSE55235;GSE12021;GSE55457,True,3,0,0.000923027849473533,3.9870785537237143
MT1X,0.00010317354787037214,-0.804529571054037,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0009238220510381718,3.9864316349421625
FGFR1OP,0.00010377550682705294,-0.09165727803212372,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0009281170214934719,3.983905136902419
DHPS,0.00010378367874586125,0.5574301994166178,3,GSE55235;GSE12021;GSE55457,False,2,1,0.0009281170214934719,3.983870939242248
NF2,0.00010419206479184151,-0.21084329939932245,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0009304938814594944,3.982165355396798
GON4L,0.00010427702747062284,-0.8377685847579656,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0009304938814594944,3.981811357360878
KCTD2,0.00010431292153534333,0.5409260486975599,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009304938814594944,3.9816618909607056
DCUN1D1,0.00010436352565301732,0.28765014288434854,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009304938814594944,3.9814512578030654
SNX4,0.000104435943755532,0.45467404176841253,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009304938814594944,3.9811500043213184
TMEM243,0.00010444185610702927,0.36279677587378084,3,GSE55235;GSE12021;GSE55457,False,2,1,0.0009304938814594944,3.9811254186388507
NONO,0.00010509146960258064,-0.30198184116762866,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0009356955128319884,3.978432534731807
SEC63,0.0001058221954212124,-0.4881952766686899,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0009416123805209568,3.9754232326978616
PRKAB2,0.00010601574725543905,-0.4173302945456756,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0009427450324689918,3.974629621167314
LOC100509457,0.00010614203754288898,1.5258709410156424,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009432785197752807,3.974112579744697
ATRIP,0.00010636282682996434,0.508495116648989,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009446506243050765,3.9732101288400896
ORMDL2,0.00010678595629010079,0.38594084452735844,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009478169595106389,3.971485858793905
EHD1,0.00010720444113487826,-0.8764670354066162,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0009509381474233466,3.9697872228482924
PROS1,0.00010773588767531983,0.35189716498292434,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009550568285635206,3.967639605678883
EAPP,0.00010797738512258181,0.2973435038191374,3,GSE55235;GSE12021;GSE55457,False,2,1,0.0009565201591897354,3.9666671940029885
IPO9,0.00010806582992362035,-0.33151022340662295,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0009565201591897354,3.9663116068934214
PPP1CC,0.00010810264379934598,0.43296236013166806,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009565201591897354,3.966163684645886
ADCYAP1R1,0.0001091231066798759,-0.9583227679156178,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0009649493858553601,3.9620832783664706
ABTB2,0.00010982765890810153,-0.4577749278311618,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0009705763546238935,3.9592882737431507
MED13,0.00011014034324186017,-0.40686865747410955,3,GSE55235;GSE12021;GSE55457,True,0,3,0.00097259135037027,3.958053574415354
HMGXB3,0.00011019238521203789,-0.36517548474828626,3,GSE55235;GSE12021;GSE55457,True,0,3,0.00097259135037027,3.9578484161435488
CXCL2,0.000110603625922856,-3.487391026375177,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0009756158646189678,3.956230635305499
ABCA5,0.00011139594343101411,-0.6824277145511436,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0009816630358090916,3.953130624042032
MXRA8,0.00011142717197298868,0.5419662152054882,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009816630358090916,3.9530088917565678
RAB23,0.00011151941272868893,0.717489461251188,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009818677006830359,3.9526495262740546
RTEL1,0.00011162535098219184,-0.3327182021610232,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0009821926368426875,3.952237162554555
UPF2,0.00011182014904476123,-0.36711825824329464,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0009832985665073318,3.9514799332070702
MAN2A2,0.00011206703322241829,-0.39079658099105163,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0009843909156376904,3.9505221250967586
PEPD,0.0001120827441195571,0.5722072671601907,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009843909156376904,3.9504612447691025
SLC46A3,0.00011263906514391575,0.5311590787382187,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009886666371792926,3.948310962645532
DUS4L,0.00011274278231943047,0.5679961286878356,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009889668969425749,3.947911251660009
HINT1,0.00011294818530127593,0.415770562348003,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0009898362337722468,3.94712074234409
CHD7,0.00011298102640189267,-0.7131206013134742,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0009898362337722468,3.946994484134535
C10orf10,0.0001131716908006064,-1.408023483742879,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0009908965025914017,3.9462621956447066
GOLM1,0.00011409396938133476,1.0904745892571597,3,GSE55235;GSE12021;GSE55457,True,3,0,0.000997770901138741,3.942737310302425
ANP32B,0.00011409708013443431,-0.37377737174228526,3,GSE55235;GSE12021;GSE55457,True,0,3,0.000997770901138741,3.9427254694970237
