probe,log2FC,mean_OA,mean_Normal,p_value,t_statistic,adj_p_value,-log10p,gene_symbol
208900_s_at,-1.9244516758697736,85.9,326.07,1.1286836678624141e-07,-8.945507948219719,0.0015730425221730949,6.947427759183701,TOP1
AFFX-r2-P1-cre-3_at,-1.1149496697187,6686.5599999999995,14482.25,1.411876786943495e-07,-8.338686600235151,0.0015730425221730949,6.850203202069898,AFFX-r2-P1-cre-3_at
212362_at,-1.422249444088235,52.38000000000001,140.38000000000002,2.5478577593175604e-07,-8.123864543486272,0.0018924638150291067,6.593824821261259,ATP2A2
AFFX-CreX-5_at,-1.3980557192083118,2982.4299999999994,7860.08,3.4589065880379587e-07,-8.870928235969311,0.0019268703875312458,6.461061166475795,AFFX-CreX-5_at
221638_s_at,-2.048879152543614,27.640000000000004,114.37,6.523593061963531e-07,-7.481864496032844,0.0024634544949901282,6.18551313783038,STX16
208532_x_at,-1.1878364384727773,30.24,68.89000000000001,8.5143368775329e-07,-7.487265865434853,0.0024634544949901282,6.069849170560192,KRTAP5-8
211277_x_at,-2.249623305635177,121.72,578.8499999999999,9.516779933272806e-07,-7.792029375079289,0.0024634544949901282,6.021509973230339,APP
212574_x_at,-1.8374067187085765,175.85,628.4300000000001,1.0029851767349033e-06,-7.237269453525762,0.0024634544949901282,5.998705485434026,TMEM259
212027_at,-1.4818391606952523,143.22,400.02,1.0922471315444777e-06,-7.475306538630612,0.0024634544949901282,5.961679087159516,RBM25
208965_s_at,-1.7054766291447472,304.4,992.7599999999999,1.183555477662955e-06,-7.256452553462719,0.0024634544949901282,5.926811380254373,IFI16
215553_x_at,-0.9563465508632242,212.38000000000002,412.1,1.3602525994583977e-06,-7.382880340693634,0.0024634544949901282,5.8663804354795035,215553_x_at
201570_at,0.5681320803832606,941.2599999999999,634.8700000000001,1.4021790812141976e-06,7.314985355842707,0.0024634544949901282,5.853196516314851,SAMM50
209258_s_at,-1.459255325481229,29.76,81.83000000000001,1.5711683173233273e-06,-8.154934494083253,0.0024634544949901282,5.803777287035729,SMC3
200773_x_at,-0.6908862644683756,5143.300000000001,8302.7,1.586053667658884e-06,-7.001416054771072,0.0024634544949901282,5.79968212144857,PTMA
216520_s_at,-0.5228980063053507,13952.27,20047.16,1.7658895496205884e-06,-6.9566273941251,0.0024634544949901282,5.7530364635502895,LOC101928826
203974_at,0.6949931284523087,617.99,381.73999999999995,1.8099204155299204e-06,7.078610846756278,0.0024634544949901282,5.742340521183899,PUDP
212073_at,-1.143593906294315,198.98999999999998,439.63,2.001426184153998e-06,-7.020717797320538,0.0024634544949901282,5.698660422748864,CSNK2A1
211454_x_at,-0.9663232276796424,429.08000000000004,838.3599999999999,2.3026493182294775e-06,-7.0595122289106325,0.0024634544949901282,5.637772197838829,FKSG49
213048_s_at,-0.7001080004776687,2071.1099999999997,3364.78,2.4454094551577895e-06,-6.771148307042168,0.0024634544949901282,5.611648412929931,SET
213614_x_at,-0.5920893071342384,12783.680000000002,19270.48,2.4525611381201464e-06,-6.8476952619362565,0.0024634544949901282,5.610380157600506,EEF1A1
215084_s_at,0.6359833662153356,303.47999999999996,195.29,2.500249161781614e-06,6.91132777834393,0.0024634544949901282,5.602016709650012,LRRC42
AFFX-CreX-3_at,-1.1907265884078109,5438.19,12413.63,2.5427210602150947e-06,-7.2281772626360805,0.0024634544949901282,5.594701279876923,AFFX-CreX-3_at
201891_s_at,-0.6590516503709688,10245.52,16178.130000000001,2.7692263798327987e-06,-6.702434056571686,0.0025139143125703298,5.557641539923071,B2M
207657_x_at,-1.0029528373043153,675.99,1354.7499999999998,3.0201973321169888e-06,-6.657299641755166,0.0025139143125703298,5.519964680403866,TNPO1
205461_at,-2.601958431524052,19.689999999999998,119.53999999999999,3.2382458112370824e-06,-7.023113082680288,0.0025139143125703298,5.489690187574013,RAB35
