probe,log2FC,mean_OA,mean_Normal,p_value,t_statistic,adj_p_value,-log10p,gene_symbol
207265_s_at,1.2823301273397507,633.01,260.25,1.4467017935676788e-08,10.940715139326388,0.0002570497264741495,7.839620980114478,KDELR3
208890_s_at,1.3550736901316869,599.44,234.33,2.7596251126259524e-08,9.391945485344472,0.0002570497264741495,7.559149911621786,PLXNB2
201950_x_at,1.0037335871912525,1033.05,515.1899999999999,3.460706275736878e-08,9.593720024143888,0.0002570497264741495,7.4608352594865455,CAPZB
218276_s_at,-0.9442527728957052,126.24000000000001,242.91,7.988143311704432e-08,-8.649884606984788,0.0003661611900534302,7.097554152248491,SAV1
212099_at,-2.011994041739147,1353.8700000000001,5460.6900000000005,9.446639923748226e-08,-12.267936383240537,0.0003661611900534302,7.0247226382702905,RHOB
212651_at,1.497646745675857,69.24,24.52,1.1072309335949244e-07,8.457933748653328,0.0003661611900534302,6.9557617894860195,RHOBTB1
219506_at,1.4624001620087832,546.0899999999999,198.17000000000002,1.1502617826926408e-07,8.597251705743977,0.0003661611900534302,6.939203309350115,C1orf54
212501_at,-1.1952335871326762,2272.2799999999997,5203.109999999999,1.673201120722682e-07,-8.24635638628938,0.00046604925716329403,6.776451853197603,CEBPB
219561_at,1.1923055565442127,570.5400000000001,249.67,2.0615128110935332e-07,8.331657864675941,0.0004754869745195453,6.685813961968642,COPZ2
208073_x_at,1.2172747982630183,1268.2099999999998,545.45,2.1338552911167496e-07,8.432370477968252,0.0004754869745195453,6.670835035895809,TTC3P1
203870_at,1.3103258929205621,81.12,32.71,2.9526234569866924e-07,7.898787083132058,0.0005022580261020261,6.5297919343352335,USP46
203666_at,1.9780119371389457,1520.41,385.94000000000005,3.1799683472604013e-07,10.14832349327561,0.0005022580261020261,6.497577202870461,CXCL12
201236_s_at,-1.717002789735936,373.5299999999999,1227.99,3.3834367545137665e-07,-9.502600094905578,0.0005022580261020261,6.470641937230576,BTG2
208999_at,0.7592277161903331,371.81,219.67000000000002,3.403319490339221e-07,7.850306156484645,0.0005022580261020261,6.468097279120955,SEPT8
208306_x_at,1.2542052436014242,7233.8099999999995,3032.5900000000006,3.513473861897364e-07,7.813844415523702,0.0005022580261020261,6.4542632730008105,HLA-DRB1
206480_at,3.572333960912985,101.22999999999999,8.51,3.606394299525386e-07,9.087716695589549,0.0005022580261020261,6.442926792104325,LTC4S
201278_at,1.1831309055100983,2042.94,899.7,4.0092893181593876e-07,8.062115047337842,0.0005162381114472765,6.3969326030793665,LOC101926921
200920_s_at,-1.3725829316958804,1238.3400000000001,3206.48,4.218107219531265e-07,-8.691698793408458,0.0005162381114472765,6.374882385179993,BTG1
203281_s_at,1.5216840764368076,190.02,66.17999999999999,4.5894712676125135e-07,7.65263423852513,0.0005162381114472765,6.338237344699088,MIR5193
217369_at,1.491234135822763,234.49,83.41,4.6334704613137953e-07,7.9547970186592,0.0005162381114472765,6.33409360129061,LOC101930405
203140_at,-2.113834668330838,586.1099999999999,2536.9199999999996,5.07033999461678e-07,-11.775477646115753,0.0005360982377004482,6.294962917819486,BCL6
202458_at,1.3883705059982476,883.36,337.44,5.404117699410236e-07,7.83048991374214,0.0005360982377004482,6.267275200795873,PRSS23
212724_at,-1.2401253841841624,613.7099999999999,1449.7000000000003,5.845321007858962e-07,-8.222095870976831,0.0005360982377004482,6.233191633670032,RND3
205200_at,1.5294978661220817,3384.9799999999996,1172.55,5.912470664034967e-07,8.25885724337674,0.0005360982377004482,6.228231001092076,EXOSC7
213587_s_at,1.210683065730449,156.25,67.51,6.014655092452186e-07,7.557679863672223,0.0005360982377004482,6.220789272021486,ATP6V0E2
211379_x_at,1.326597959505763,49.51,19.74,6.446125994972907e-07,8.075187141360567,0.0005524577905614665,6.190701210088544,B3GALNT1
218231_at,1.2517701599006434,596.81,250.61999999999998,6.705750982311075e-07,7.455396632891801,0.0005534231449586581,6.173552578109136,NAGK
207191_s_at,1.4829405872166788,1423.92,509.41999999999996,7.198804461850291e-07,7.429778160024048,0.0005728962850836073,6.1427396228372295,ISLR
209627_s_at,2.0737238231142734,115.21999999999998,27.369999999999997,7.838571721077693e-07,7.463916392184454,0.0005833802949289384,6.105763063611927,OSBPL3
207996_s_at,1.4503981354833215,164.38,60.15000000000001,8.723094612451888e-07,8.126484883418238,0.0006270216685460174,6.059329417052666,LDLRAD4
211581_x_at,2.1957143602048754,170.74,37.269999999999996,9.137207973645005e-07,8.943918465553358,0.0006362637664897864,6.0391864899203975,LST1
213603_s_at,0.928742491836941,295.86,155.42,1.0108000218658772e-06,7.22697503082311,0.0006825350571890104,5.995334757357357,RAC2
203185_at,0.7435166392369864,226.60999999999999,135.35,1.1692098801267814e-06,7.6842632151913035,0.0007662795223195608,5.9321075233980665,RASSF2
205552_s_at,1.1581032929814679,106.65,47.79,1.228360729892915e-06,7.3902293335916776,0.0007747054536313317,5.910674076194635,OAS1
208998_at,2.1336639298930975,869.0600000000001,198.04000000000002,1.2515997096767913e-06,8.737591601521425,0.0007747054536313317,5.902534546265524,UCP2
209340_at,-1.238217681804324,1098.73,2591.98,1.3556681916581329e-06,-7.087593161103794,0.0008164420085058966,5.867846593776836,UAP1
203574_at,-3.520602001345235,189.01000000000002,2169.1600000000003,1.408835185449841e-06,-9.761347206158062,0.000826133537825758,5.851139810465049,NFIL3
222130_s_at,0.7119384038565653,132.57999999999998,80.94,1.5048591099448426e-06,7.016825383220196,0.0008481558056505164,5.822504158301184,MRM2
217225_x_at,0.6605780971408175,1182.1699999999998,747.87,1.5225163679047102e-06,7.1127106290977204,0.0008481558056505164,5.817438029760778,LOC101060373
201609_x_at,0.6654771064111016,340.09000000000003,214.42,1.6048877963116184e-06,7.03321480208683,0.0008722369454929706,5.794555325343908,ICMT
221447_s_at,1.2439288345574384,467.0299999999999,197.19,1.700234007085947e-06,6.971103711083541,0.0009020551042832419,5.7694913015674985,GLT8D2
213497_at,-1.2143688560430663,70.32000000000001,163.17000000000002,2.1261121707576627e-06,-7.050973051099086,0.0011017711046742557,5.672413826427967,ABTB2
218881_s_at,-1.7044570193288417,64.0,208.57999999999998,2.2354539554639915e-06,-8.684943684783901,0.0011222202452031728,5.650634271040347,FOSL2
204749_at,1.3785275956094125,180.64999999999998,69.48,2.2662976724024044e-06,6.980258313040948,0.0011222202452031728,5.644683047256702,NAP1L3
204517_at,1.14090154815826,1232.7,559.0,2.4699316766158027e-06,6.980191490904268,0.0011818468196764585,5.607315060051726,PPIC
201890_at,1.6915533345262388,37.629999999999995,11.649999999999999,2.4927882477580914e-06,7.478668705483433,0.0011818468196764585,5.6033146114825945,RRM2
219815_at,1.6292750325365275,348.12,112.53,2.6999444840572113e-06,8.613586134434856,0.0012020336674439128,5.568645165661563,GAL3ST4
206011_at,0.8785043086581109,125.31000000000002,68.16,2.8246466378972333e-06,6.741649167722596,0.0012020336674439128,5.549035874502962,CASP1
201669_s_at,1.5039728227842641,941.0599999999998,331.8,2.8249835626296774e-06,7.174540362521118,0.0012020336674439128,5.548984074810913,MARCKS
203973_s_at,-2.324032281961766,1048.25,5248.9,2.94966148002491e-06,-8.663581001935,0.0012083421282463886,5.530227823273751,CEBPD
212353_at,1.4704968672149243,424.7099999999999,153.26000000000002,3.06946800602646e-06,7.36515366602562,0.0012083421282463886,5.512936889040021,SULF1
200950_at,0.9770411389334623,398.35,202.36999999999998,3.0909438275835457e-06,7.07594661824848,0.0012083421282463886,5.509908887396149,ARPC1A
212158_at,0.7654185584376494,968.4799999999999,569.74,3.189013819074088e-06,6.671512006527544,0.001213142216086399,5.496343598808274,SDC2
213974_at,1.0818776913943629,307.76,145.39000000000001,3.2470363612012543e-06,6.962563729334301,0.001213142216086399,5.488512847998377,ADAMTSL3
221000_s_at,1.8226493523478884,91.51,25.869999999999997,3.2665499692673307e-06,7.174387027941216,0.001213142216086399,5.485910693907329,KAZALD1
221841_s_at,-1.5949705399123586,1586.9,4793.84,3.391303976614984e-06,-8.133433058815935,0.0012388266641133064,5.469633280864852,KLF4
212434_at,-1.0355400195435207,109.05999999999999,223.56,3.5442446699553287e-06,-7.4110579141173005,0.0012738129674292676,5.450476305085292,GRPEL1
219799_s_at,0.9848557944403217,144.98999999999998,73.25999999999999,3.685464502858297e-06,6.66922199840768,0.0012863363831491165,5.433507767420962,DHRS9
37408_at,1.7414606150917453,1839.7899999999997,550.22,3.715398020274675e-06,8.432220114935816,0.0012863363831491165,5.4299946546491,MRC2
208752_x_at,-0.6765388015261026,1089.8200000000002,1741.86,3.7522714582727896e-06,-7.2790356678104455,0.0012863363831491165,5.425705750099648,NAP1L1
207574_s_at,-3.1316239933118024,401.84,3521.81,4.1405677802623424e-06,-9.184824081865688,0.001313885398658498,5.382940101650226,GADD45B
204670_x_at,1.3445207973168523,4785.659999999999,1884.52,4.146614552434577e-06,6.92307713731055,0.001313885398658498,5.382306332499665,LOC100996809
210046_s_at,1.0619486425511313,145.36999999999998,69.63000000000001,4.14750296553539e-06,6.621630677400647,0.001313885398658498,5.382213294775526,IDH2
212665_at,-1.8872697928892712,251.84999999999997,931.68,4.164790639077355e-06,-8.859934367037827,0.001313885398658498,5.380406825368536,TIPARP
213142_x_at,0.808581466587933,226.51999999999998,129.32999999999998,4.208669892111428e-06,6.887279344613375,0.001313885398658498,5.375855136893148,GSAP
220146_at,2.4255952110662395,220.81,41.1,4.245377583961399e-06,8.24935172863609,0.001313885398658498,5.372083677542911,TLR7
212865_s_at,1.5191524372360117,1136.4299999999998,396.48999999999995,4.581071098723864e-06,6.446078953790598,0.0013794595580116737,5.339032967873812,COL14A1
201137_s_at,1.7162344621289143,3606.8300000000004,1097.7099999999998,4.740414699657055e-06,7.579453235326886,0.0013936040795494442,5.324183663833368,HLA-DPB1
220046_s_at,-1.916438436396482,320.08000000000004,1208.27,4.753126152033288e-06,-6.993699863855842,0.0013936040795494442,5.323020659005287,CCNL1
205652_s_at,1.4406633069543384,68.16,25.11,4.826270955604682e-06,6.607254962351192,0.0013966726714771316,5.3163882996629015,TTLL1
204150_at,0.9832418517536444,1006.5400000000002,509.15,5.261937904267197e-06,6.378156071241007,0.001485097070151599,5.27885428129654,STAB1
202465_at,1.3187482249697196,2030.3200000000002,813.92,5.290499662705427e-06,6.956985128606424,0.001485097070151599,5.276503308965172,PCOLCE
201621_at,1.2734904106190859,815.3599999999999,337.28,5.331767069610372e-06,6.423630419373816,0.001485097070151599,5.273128831987466,NBL1
203509_at,1.3392546719561058,468.66999999999996,185.23000000000002,5.789639791501248e-06,6.692663423214707,0.0015927227589385472,5.237348455517758,SORL1
201105_at,1.0279679893906357,3530.87,1731.5399999999997,6.0244026395529425e-06,6.462263491822867,0.0016370946831360759,5.220086009866385,LGALS1
201004_at,0.9831666322061829,1750.1200000000001,885.3299999999999,6.330217720956962e-06,6.416815915680583,0.0016828212393425602,5.198581352639181,SSR4
201954_at,0.9808773587017361,1291.31,654.27,6.343714226305931e-06,6.668494871292531,0.0016828212393425602,5.197656389488347,ARPC1B
203052_at,1.2485017867033679,530.8100000000001,223.41,6.535217720127417e-06,6.5642953652211045,0.001713226546559991,5.184739939365016,C2
208091_s_at,0.8041896986439256,627.17,359.17,6.728286530664951e-06,6.272846362463379,0.0017433303344512453,5.172095521960891,VOPP1
220326_s_at,0.8541442888883907,229.07,126.72,7.115250393036209e-06,6.322925651626082,0.0017799336165742403,5.1478098120378135,ARHGEF40
202139_at,1.0760562162047613,228.81,108.53,7.243034029619384e-06,6.398110693073722,0.0017799336165742403,5.140079474368357,AKR7A2
204776_at,1.264325356607686,4957.41,2063.7400000000002,7.2689475882177385e-06,6.731927003252245,0.0017799336165742403,5.138528462554289,THBS4
215076_s_at,1.7058820241938317,7105.840000000001,2178.18,7.679207532676266e-06,6.3361498779325,0.0018599541462024482,5.114683595325707,COL3A1
213241_at,2.4973406677518004,304.22999999999996,53.879999999999995,7.87056478012649e-06,8.373924642591163,0.0018858042472640704,5.103994102190908,PLXNC1
206687_s_at,0.9155440480284465,205.68,109.04,8.520303034436921e-06,6.450274513870686,0.001975212572909342,5.069544958772808,PTPN6
207624_s_at,-1.6718442990681377,28.73,91.53999999999999,8.724607317766076e-06,-7.308153249673191,0.001975212572909342,5.059254110909201,RPGR
203542_s_at,-3.0662926224654314,211.68,1773.0699999999997,8.766978944670422e-06,-8.801918094739445,0.001975212572909342,5.05715003647343,KLF9
209312_x_at,1.382777202189735,6560.969999999999,2516.0,8.821979330812784e-06,6.122302361376083,0.001975212572909342,5.054433964073421,LOC101060835
